date,run,fps,drawCalls,triangles,geometries,textures,jsHeapUsedMB
2026-07-31,run59,2,46,393467,44,17,347
2026-08-05,run63,2,46,393467,44,17,347
2026-08-05,run64,2,46,393467,44,17,257
2026-08-05,run65,2,46,393467,44,17,307
2026-08-05,run66,3,46,393467,44,17,290
2026-08-05,run66b,2,46,393467,44,17,290
2026-08-05,run67,3,46,393231,44,17,326
2026-08-05,run68,2,46,393231,44,17,326
2026-08-05,run69,3,46,393231,44,17,368
2026-08-05,run70,3,46,393231,44,17,307
2026-08-05,run70b,2,46,393231,44,17,347
2026-08-05,run71,3,46,393231,44,17,326
2026-08-05,run71b,2,46,393231,44,17,307
2026-08-05,run72,2,46,393231,44,17,326
2026-08-05,run72b,2,46,393231,44,17,290
2026-08-05,run73,2,46,393231,44,17,347
2026-08-05,run74,2,46,393231,44,17,290
2026-08-05,run75,2,46,393231,44,17,326
2026-08-05,run76,3,46,393231,44,17,307
2026-08-05,run77,3,46,393231,44,17,290
2026-08-05,run78,3,46,393231,44,17,326
2026-08-05,run79,3,46,393231,44,17,326
2026-08-05,run80,2,46,393231,44,17,257
2026-08-05,run81,2,46,393231,44,17,347
2026-08-05,run82,3,46,393231,44,17,347
2026-08-05,run83,3,46,393231,44,17,257
2026-08-05,run83b,2,46,393231,44,17,347
2026-08-05,run84,3,46,393231,44,17,307
2026-08-06,run85,2,46,393231,44,17,347
2026-08-06,run86,3,46,393231,44,17,326
2026-08-06,run87,3,46,393231,44,17,326
2026-08-06,run88,2,46,393231,44,17,326
2026-08-06,run89,2,46,393231,44,17,326
2026-08-06,run90,2,46,393231,44,17,347
2026-08-06,run91,2,46,393231,44,17,257
2026-08-06,run92,2,46,393231,44,17,307
2026-08-06,run93,3,46,393231,44,17,307
2026-08-06,run94,3,46,393231,44,17,326
2026-08-06,run95,2,46,393231,44,17,347
2026-08-06,run96,2,46,393231,44,17,326
2026-08-06,run97,2,46,393231,44,17,347
2026-08-06,run98,3,46,393231,44,17,326
2026-08-06,run99,3,46,393231,44,17,290
2026-08-06,run99b,3,46,393231,44,17,326
2026-08-06,run100c,2,46,393231,44,17,273
2026-08-06,run102,2,46,393231,44,17,307
2026-08-06,run103,3,46,393231,44,17,326
2026-08-06,run105,3,46,393231,44,17,307
2026-08-06,run107,2,46,393231,44,17,326
2026-08-06,run108,2,46,393231,44,17,326
2026-08-06,run109,3,46,393231,44,17,307
2026-08-06,run110,2,46,393231,44,17,326
2026-08-07,run111,2,48,521526,46,17,326
2026-08-07,run112,2,50,577043,48,17,347
2026-08-07,run113,2,50,608296,48,17,347
2026-08-07,run114,2,50,608296,48,17,307
2026-08-07,run115,2,50,608296,48,17,307
2026-08-07,run116,2,50,608296,48,17,307
2026-08-07,run119,2,50,608296,48,17,257
2026-08-07,run120,2,50,608296,48,17,347
2026-08-07,run122,0,55,646282,49,22,242
2026-08-07,run123,1,50,608296,48,17,242
2026-08-07,run124,1,50,608296,48,17,307
2026-08-07,run125,3,50,608296,48,17,347
2026-08-07,run126,2,50,608296,48,17,257
2026-08-07,run127,1,50,608296,48,17,391
2026-08-07,run128,2,50,608296,48,17,326
2026-08-07,run129,1,50,608296,48,17,326
2026-08-07,run130,1,50,608296,48,17,347
2026-08-07,run131,2,50,608296,48,17,290
2026-08-07,run132,1,50,608296,48,17,307
2026-08-07,run133,2,50,608296,48,17,326
2026-08-07,run134,2,50,608296,48,17,368
2026-08-07,run135,1,50,608296,48,17,273
2026-08-07,run136,1,50,608296,48,17,391
2026-08-07,run137,2,50,608296,48,17,307
2026-08-07,run138,2,50,608296,48,17,273
2026-08-07,run139,1,50,608296,48,17,391
2026-08-07,run140,2,50,608296,48,17,326
2026-08-07,run141,1,50,608296,48,17,368
2026-08-07,run142,2,50,608296,48,17,347
2026-08-07,run143,1,50,608296,48,17,368
2026-08-07,run144,1,50,608296,48,17,347
2026-08-07,run145,2,50,608296,48,17,347
2026-08-07,run146,1,50,608296,48,17,347
2026-08-07,run147,2,50,608296,48,17,368
2026-08-07,run148,1,50,608296,48,17,326
2026-08-07,run149,2,50,608296,48,17,290
2026-08-07,run150,1,50,608296,48,17,347
2026-08-07,run151,2,50,608296,48,17,290
2026-08-07,run152,1,50,608296,48,17,368
2026-08-07,run153,1,50,608296,48,17,326
2026-08-07,run154,1,50,608296,48,17,368
2026-08-07,run155,1,50,608296,48,17,326
2026-08-07,run156,2,50,608296,48,17,347
2026-08-07,run156b,2,50,608296,48,17,273
2026-08-07,run157,1,50,608296,48,17,368
2026-08-07,run158,2,50,608296,48,17,326
2026-08-08,run159,1,50,608296,48,17,326
2026-08-08,run160,1,50,608296,48,17,347

2026-08-08,run161,1,50,608296,48,17,326
2026-08-08,run162,1,50,608296,48,17,368
2026-08-08,run163,1,50,608296,48,17,290

2026-08-08,run164,1,50,608296,48,17,347
2026-08-08,run165,1,50,608296,48,17,307
2026-08-08,run166,1,50,608296,48,17,368
2026-08-08,run167,2,50,608296,48,17,307
2026-08-08,run168,2,50,608296,48,17,368
2026-08-08,run169,1,50,608296,48,17,326
2026-08-08,run170,1,50,608296,48,17,368
2026-08-08,run171,2,50,608296,48,17,307
2026-08-08,run172,2,50,608296,48,17,326
2026-08-08,run173,1,50,608296,48,17,290
2026-08-08,run174,1,50,608296,48,17,326
2026-08-08,run175,1,50,608296,48,17,326
2026-08-08,run176,1,50,608296,48,17,326
2026-08-08,run177,1,50,608296,48,17,368
2026-08-08,run179,1,50,608296,48,17,368

2026-08-08,run181,1,50,608296,48,17,326

2026-08-08,run182,1,50,608296,48,17,368

2026-08-08,run183,1,51,688296,49,17,307

2026-08-08,run184,1,51,688296,49,17,368

2026-08-08,run185,1,51,688296,49,17,307

2026-08-08,run186,1,51,688296,49,17,391

2026-08-08,run187,1,51,688296,49,17,326

2026-08-08,run188,1,51,688296,49,17,368

2026-08-08,run189,1,51,688296,49,17,326

2026-08-08,run190,1,51,688296,49,17,326

2026-08-08,run191,1,51,688296,49,17,347

2026-08-08,run192,1,51,688296,49,17,368

2026-08-08,run193,1,51,688296,49,17,347

2026-08-08,run194,1,51,688296,49,17,368
2026-08-08,run195,1,51,688296,49,17,368
2026-08-08,run196,1,51,688296,49,17,368
2026-08-08,run197,1,51,688296,49,17,368
2026-08-08,run198,1,51,688296,49,17,347
2026-08-08,run199,1,51,688296,49,17,347
2026-08-09,run200,1,51,688296,49,17,307
2026-08-09,run201,1,51,688296,49,17,347
2026-08-09,run202,1,51,688296,49,17,368
2026-08-09,run203,1,51,688296,49,17,326
2026-08-09,run204,1,51,688296,49,17,347
2026-08-09,run205,1,51,688296,49,17,368
2026-08-09,run206,1,51,688296,49,17,368
2026-08-09,run207-rts,1,51,688296,49,17,326
2026-08-09,run208-rts-feedback,1,51,688296,49,17,368
run210,2026-08-09,desktop-rts,,66,821483,,,,"owner surface; 529 textured chunks; 3072 source -> 1024 runtime; console/page errors 0"
run210,2026-08-09,mobile-rts,,28,202770,,,,"owner surface; 90 textured chunks; 3072 source -> 512 runtime; console/page errors 0"
2026-08-09,run211-rts-shortcuts,1,51,688296,49,17,347
2026-08-09,run212-rts-command-status,1,66,821483,,,,"DOM-only command status; no renderer objects/assets added; focused desktop RTS budget PASS"
run213,2026-08-09,desktop-rts-selection-readability,,66,821483,,,,"DOM-only selection meter; 48/48=100%; no renderer ownership; console/page errors 0"
run213,2026-08-09,mobile-rts-selection-readability,,28,202770,,,,"DOM-only selection meter; 48/48=100%; no renderer ownership; console/page errors 0"
run218,2026-08-10,editor-authoring-regression,,,,,,,"test-only orchestration; runtime draw calls/triangles unchanged; mobile perf budget and full smoke PASS"
run219,2026-08-10,editor-history-regression,,,,,,,"test-only browser regression; runtime draw calls/triangles unchanged; mobile perf budget and full smoke PASS"
run220,2026-08-10,editor-history-shortcuts-mobile,,,,,,,"test-only keyboard/mobile browser regression; runtime draw calls/triangles unchanged; mobile perf budget and full smoke PASS"
run221,2026-08-10,editor-history-input-guard,,,,,,,"test-only inspector shortcut guard and Ctrl+Y redo regression; runtime draw calls/triangles unchanged; mobile perf budget and full smoke PASS"
